TotalRelatorio,Codigo,Descricao_Produto,Categoria,Quantidade,Preco,Atributos,Deposito,Marca,ValorTotal,NCM,Unidade
"R$ 35.167.575,97",M986-1,FAROFA DE MANDIOCA SABOR TRADICIONAL 400G,Mercearia,"-18,00","R$ 5,90",,Loja,DEUSA,"-R$ 106,20",19019090,UN
"R$ 35.167.575,97",M1613-1,FAROFA DE MILHO BIJU TEMPERADA TRADICIONAL 350G,Mercearia,"-6,00","R$ 7,90",,Loja,DEUSA,"-R$ 47,40",19019090,UN
"R$ 35.167.575,97",M1739-1,FAROFA PRONTA 400G,Mercearia,"-17,00","R$ 5,99",,Loja,KISABOR,"-R$ 101,83",19019090,UN
"R$ 35.167.575,97",M1082-1,FAROFA PRONTA YOKI 400G MAND TEMPERADA,Mercearia,"-1,00","R$ 6,90",,Loja,YOKI,"-R$ 6,90",19019090,UN
"R$ 35.167.575,97",7896117600584,FAROFA TEMPERADA  CASEIRA TRADICIONAL 350G,Mercearia,"-22,00","R$ 7,90",,Loja,DEUSA,"-R$ 173,80",19019090,UN
"R$ 35.167.575,97",M1083-1,FAROFA YOKI CASEIR 200G MAND C/CEBOLA CX-12UN QTD. 1.00 CX,Mercearia,"0,00","R$ 9,90",,Loja,YOKI,"R$ 0,00",19019090,UN
"R$ 35.167.575,97",M952-1,FAROFA YOKI CASEIRA 200G MANDIOCA COM COSTELINHA,Mercearia,"-2,00","R$ 9,90",,Loja,YOKI,"-R$ 19,80",19019090,UN
"R$ 35.167.575,97",M2156-1,FASCINO CHOC/AVELA 1.5,Mercearia,"-2,00","R$ 41,55",,Loja,JUNDIA,"-R$ 83,10",21050010,UN
"R$ 35.167.575,97",7898036493070,"FASCINO CHOCOLATE COM AVELÃ 1,5L",Mercearia,"-6,00","R$ 39,90",,Loja,JUNDIA,"-R$ 239,40",21050010,UN
"R$ 35.167.575,97",7898036493117,"FASCINO IOGURTE 1,5L",Mercearia,"-5,00","R$ 39,90",,Loja,JUNDIA,"-R$ 199,50",21050010,UN
"R$ 35.167.575,97",M2238-1,FASCINO IOGURTE 1.5,Mercearia,"3,00","R$ 39,90",,Loja,JUNDIA,"R$ 119,70",21050010,UN
"R$ 35.167.575,97",M2153-1,FASCINO IOGURTE 1.5,Mercearia,"0,00","R$ 41,55",,Loja,JUNDIAI ,"R$ 0,00",21050010,UN
"R$ 35.167.575,97",7898036490277,FASCINO NATA COM CHOCOLATE 190G,Mercearia,"-25,00","R$ 13,50",,Loja,JUNDIAI ,"-R$ 337,50",21050010,UN
"R$ 35.167.575,97",M1774-1,FASCINO NATA COM MORANGO 190G,Mercearia,"-24,00","R$ 13,50",,Loja,JUNDIA,"-R$ 324,00",21050010,UN
"R$ 35.167.575,97",M2160-1,FASCINO NATA/CHOCO,Mercearia,"0,00","R$ 172,50",,Loja,JUNDIA,"R$ 0,00",21050010,UN
"R$ 35.167.575,97",M2161-1,FASCINO NATA/MOR,Mercearia,"0,00","R$ 13,50",,Loja,JUNDIAI ,"R$ 0,00",21050010,UN
"R$ 35.167.575,97",M2241-1,FASCINO PIPOCA 1.5,Mercearia,"4,00","R$ 41,55",,Loja,JUNDIA,"R$ 166,20",21050010,UN
"R$ 35.167.575,97",M2158-1,FASCINO PIPOCA 1.5,Mercearia,"0,00","R$ 41,55",,Loja,JUNDIAI ,"R$ 0,00",21050010,UN
"R$ 35.167.575,97",7898036494374,"FASCINO PIPOCA CARAMELIZADA 1,5L",Mercearia,"-2,00","R$ 39,90",,Loja,JUNDIA,"-R$ 79,80",21050010,UN
"R$ 35.167.575,97",7898036493087,"FASCINO TORTA DE LIMAO 1,5L",Mercearia,"-4,00","R$ 39,90",,Loja,JUNDIA,"-R$ 159,60",21050010,UN
"R$ 35.167.575,97",M2155-1,FASCINO TORTA LIMAO 1.5,Mercearia,"5,00","R$ 41,55",,Loja,JUNDIA,"R$ 207,75",21050010,UN
"R$ 35.167.575,97",7898036493100,"FASCINO TRUFADINGO BIANCO 1,5 L",Mercearia,"-7,00","R$ 39,90",,Loja,JUNDIA,"-R$ 279,30",21050010,UN
"R$ 35.167.575,97",7898036493056,"FASCINO TRUFADINHO 1,5L",Mercearia,"-6,00","R$ 39,90",,Loja,JUNDIAI ,"-R$ 239,40",21050010,UN
"R$ 35.167.575,97",M2152-1,FASCINO TRUFADINHO 1.5,Mercearia,"0,00","R$ 41,55",,Loja,JUNDIA,"R$ 0,00",21050010,UN
"R$ 35.167.575,97",M2237-1,FASCINO TRUFADINHO 1.5,Mercearia,"3,00","R$ 39,90",,Loja,JUNDIA,"R$ 119,70",21050010,UN
"R$ 35.167.575,97",M2157-1,FASCINO TRUFADINHO BIANCO 1.5,Mercearia,"0,00","R$ 41,55",,Loja,JUNDIA,"R$ 0,00",21050010,UN
"R$ 35.167.575,97",M2240-1,FASCINO TRUFADINHO BIANCO 1.5,Mercearia,"5,00","R$ 39,90",,Loja,JUNDIA,"R$ 199,50",21050010,UN
"R$ 35.167.575,97",7898036493063,"FASCINO TRUFATINE 1,5",Mercearia,"-5,00","R$ 39,90",,Loja,MEZZANI,"-R$ 199,50",21050010,UN
"R$ 35.167.575,97",M2154-1,FASCINO TRUFATINE 1.5,Mercearia,"0,00","R$ 41,55",,Loja,JUNDIAI ,"R$ 0,00",21050010,UN
"R$ 35.167.575,97",M2239-1,FASCINO TRUFATINE 1.5,Mercearia,"4,00","R$ 39,90",,Loja,JUNDIAI ,"R$ 159,60",21050010,UN
"R$ 35.167.575,97",M2664-1,FAZENDO ARTE 80G,Mercearia,"-12,00","R$ 7,50",,Loja,FINI,"-R$ 90,00",17049020,UN
"R$ 35.167.575,97",M1481-1,FEIJAO BRANCO 1KG,Mercearia,"-14,00","R$ 23,00",,Loja,GALILEU,"-R$ 322,00",07133321,UN
