TextBox1,aTSV_MerchandiseCustomCodeDataTextBox,aTSV_MerchandiseDescriptionDataTextBox,aTSV_BrandDescriptionDataTextBox,aTNU_SaleQuantityDataTextBox,TextBox3
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2415-1,SPRITE ZERO AÇUCAR 2L,COCA COLA,53,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1247-1,SPRITE SEM ACUCAR 2L,COCA COLA,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7894900681000,SPRITE ORIGINAL 2L,COCA COLA,69,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1633-1,SPRITE LEMON FRESH 510ML,sprite,26,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1403-1,"SPRITE LEMON FRESH 1,5L",sprite,13,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7898036492738,SORVETE TRES CHOCOLATES 2L,JUNDIA,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2046-1,SORVETE POTE BOMBOM 2 LITROS,JUNDIA,4,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1640-1,SORVETE POTE 2L NAPOLITANO,VIVOLI,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1641-1,SORVETE POTE 2L CREME,VIVOLI,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1639-1,SORVETE POTE 2L CHOCOLATE,VIVOLI,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7898036492370,SORVETE JUNDIA NAPOLITANO 2L,.,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7898036491472,SORVETE JUNDIA FLOCOS 2L,JUNDIA,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7898036491175,SORVETE JUNDIA CREME 2L,JUNDIA,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7898036491274,SORVETE COCO 2L,JUNDIAI ,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2167-1,SORVETE BOMBOM DADINHO 70G,JUNDIA,12,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1771-1,SORVETE BOMBOM CHOCOBAR 70G,JUNDIA,17,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2166-1,SORVETE BOMBOM CHOCOBAR 70G,JUNDIA,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2165-1,SORVETE BOMBOM CEREJA/AMARENA 70G,JUNDIA,4,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7898036491588,SORVETE ABACAXI AO VINHO 2L,JUNDIA,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7898036491076,SOREVE JUNDIA ABACAXI 2L,JUNDIAI ,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1094-1,SOPÃO GALINHA COM VEGETAIS 180G,Apti,5,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1093-1,SOPÃO CARNE COM LEGUMES180G,Apti,5,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M950-1,SODA CAUSTICA INDAIA 1KG,INDAIA,28,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000110,SOBRECOXA,.,"39,338",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1140-1,SNICKERS CARAMELO AMENDOIM E NOUGAT 45G,SNICKERS,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2794-1,SNICKERS 40G ORIGINAL,SNICKERS,9,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2178-1,SMIRNOFF ICE 275ML,SMIRNOFF,2,Todos
